manufacturer,type,class,buzzwords1,buzzwords2,buzzwords3,B1_x,B1_y,H1_x,H1_y,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,E_x,E_y,E1_x,E1_y,F1_x,F1_y,G_x,G_y,H_x,H_y,I_x,I_y,H2_x,H2_y,B4_x,B4_y,J_x,J_y,B3_x,B3_y,B2_x,B2_y,S1_x,S1_y,SRP1_x,SRP1_y,S2_x,S2_y,SRP2_x,SRP2_y,drag_coeff
Audi,Hatchback,UKL,Praktisch,Modern,Elegant,-375.0,-116.0,-806.0,-75.0,-863.0,-28.0,-774.0,388.0,330.0,692.0,985.0,1042.0,1768.0,1123.0,2525.0,1096.0,2848.0,1022.0,3246.0,735.0,3363.0,570.0,3440.0,265.0,3340.0,-45.0,3009.0,-67.0,2636.0,0.0,2262.0,-124.0,378.0,-124.0,528.0,-41.0,1370.0,216.0,1650.0,-85.0,2178.0,233.0,0.31324098
Audi,Hatchback,UKL,Modern,Praktisch,Sportlich,-389.0,-214.0,-795.0,-149.0,-902.0,-68.0,-828.0,334.0,224.0,630.0,967.0,987.0,1769.0,1085.0,2488.0,1046.0,2871.0,935.0,3224.0,689.0,3373.0,557.0,3449.0,108.0,3276.0,-81.0,2990.0,-129.0,2632.0,0.0,2259.0,-183.0,388.0,-183.0,533.0,-85.0,1381.0,161.0,1694.0,-122.0,2184.0,187.0,0.2771884
Audi,Limousine,KKL,Praktisch,Modern,Hochqualitativ,-388.0,-131.0,-849.0,-86.0,-843.0,262.0,-780.0,391.0,411.0,652.0,1152.0,1035.0,1928.0,1114.0,2623.0,1051.0,2705.0,1030.0,3347.0,752.0,3725.0,715.0,3838.0,213.0,3684.0,-21.0,3200.0,-86.0,2808.0,0.0,2435.0,-143.0,389.0,-143.0,642.0,-50.0,1486.0,199.0,1760.0,-98.0,2303.0,206.0,0.22113124
Audi,Touring/Kombi,KKL,Praktisch,Hochqualitativ,Modern,-386.0,-129.0,-866.0,-79.0,-854.0,102.0,-709.0,463.0,416.0,652.0,1154.0,1031.0,2017.0,1117.0,2648.0,1092.0,3221.0,1001.0,3662.0,673.0,3764.0,556.0,3839.0,192.0,3756.0,-7.0,3212.0,-88.0,2808.0,0.0,2427.0,-109.0,388.0,-124.0,646.0,-52.0,1487.0,199.0,1765.0,-102.0,2305.0,199.0,0.32059842
Audi,Limousine,KKL,Praktisch,Modern,Hochqualitativ,-386.0,-145.0,-707.0,-127.0,-864.0,-70.0,-782.0,365.0,413.0,638.0,1151.0,1018.0,1885.0,1101.0,2648.0,1045.0,2768.0,1014.0,3382.0,751.0,3788.0,700.0,3900.0,199.0,3721.0,-38.0,3262.0,-96.0,2868.0,0.0,2483.0,-157.0,389.0,-157.0,645.0,-64.0,1490.0,185.0,1770.0,-113.0,2367.0,191.0,0.21300356
Audi,Coupe,KKL,Modern,Elegant,Sportlich,-372.0,-177.0,-748.0,-155.0,-860.0,-53.0,-762.0,336.0,463.0,638.0,1155.0,974.0,1696.0,1034.0,2490.0,967.0,2559.0,951.0,3281.0,705.0,3607.0,669.0,3764.0,206.0,3612.0,-73.0,3146.0,-120.0,2752.0,0.0,2374.0,-179.0,371.0,-179.0,638.0,-95.0,1489.0,145.0,1776.0,-141.0,2232.0,143.0,0.23562054
Audi,Convertible,KKL,Sportlich,Elegant,Highclass,-371.0,-152.0,-750.0,-129.0,-860.0,-29.0,-769.0,385.0,436.0,649.0,1091.0,999.0,1800.0,1073.0,2488.0,1025.0,2615.0,972.0,3058.0,731.0,3610.0,696.0,3766.0,257.0,3608.0,-54.0,3151.0,-95.0,2752.0,0.0,2375.0,-164.0,374.0,-164.0,637.0,-70.0,1491.0,169.0,1768.0,-116.0,2239.0,196.0,0.21268162
Audi,Coupe,KKL,Elegant,Sportlich,Modern,-384.0,-175.0,-769.0,-155.0,-877.0,59.0,-820.0,317.0,430.0,610.0,1154.0,969.0,1730.0,1035.0,2516.0,963.0,2614.0,933.0,3292.0,711.0,3659.0,672.0,3796.0,72.0,3611.0,-60.0,3154.0,-132.0,2768.0,0.0,2337.0,-211.0,383.0,-211.0,636.0,-92.0,1489.0,145.0,1771.0,-141.0,2250.0,143.0,0.2336087
Audi,Hatchback,KKL,Elegant,Sportlich,Praktisch,-371.0,-153.0,-748.0,-132.0,-859.0,-24.0,-770.0,383.0,361.0,604.0,1151.0,1004.0,1831.0,1079.0,2670.0,1005.0,2812.0,971.0,3500.0,737.0,3744.0,693.0,3852.0,234.0,3659.0,-33.0,3207.0,-84.0,2810.0,0.0,2400.0,-117.0,410.0,-142.0,642.0,-68.0,1484.0,174.0,1773.0,-110.0,2293.0,175.0,0.2252966
Audi,Limousine,MKL,Modern,Praktisch,Elegant,-406.0,-143.0,-905.0,-84.0,-912.0,66.0,-839.0,396.0,437.0,665.0,1143.0,1041.0,1941.0,1133.0,2686.0,1064.0,2755.0,1046.0,3442.0,767.0,3872.0,731.0,4003.0,196.0,3952.0,-10.0,3321.0,-90.0,2912.0,0.0,2504.0,-134.0,412.0,-134.0,644.0,-52.0,1487.0,199.0,1774.0,-96.0,2346.0,208.0,0.1998643
Audi,Touring/Kombi,MKL,Modern,Praktisch,Elegant,-406.0,-173.0,-829.0,-133.0,-912.0,35.0,-839.0,366.0,445.0,640.0,1141.0,1009.0,2072.0,1108.0,2803.0,1086.0,3352.0,983.0,3830.0,670.0,3943.0,469.0,4015.0,175.0,3913.0,-46.0,3322.0,-121.0,2912.0,0.0,2507.0,-163.0,410.0,-163.0,645.0,-82.0,1486.0,170.0,1771.0,-128.0,2346.0,178.0,0.31854373
Audi,Touring/Kombi,MKL,Modern,Praktisch,Elegant,-349.0,-217.0,-800.0,-147.0,-916.0,184.0,-855.0,352.0,408.0,626.0,1138.0,1003.0,2070.0,1107.0,2776.0,1085.0,3344.0,971.0,3857.0,683.0,3960.0,519.0,4020.0,99.0,3961.0,-48.0,3325.0,-131.0,2924.0,0.0,2549.0,-203.0,399.0,-203.0,632.0,-78.0,1485.0,161.0,1777.0,-137.0,2370.0,168.0,0.2962044
Audi,Limousine,MKL,Modern,Praktisch,Elegant,-556.0,-150.0,-851.0,-119.0,-911.0,73.0,-839.0,372.0,430.0,641.0,1137.0,1019.0,1975.0,1116.0,2803.0,1044.0,2859.0,1027.0,3553.0,748.0,3980.0,707.0,4103.0,194.0,4052.0,-23.0,3736.0,-67.0,3012.0,0.0,2466.0,-137.0,411.0,-150.0,645.0,-71.0,1487.0,182.0,1823.0,-116.0,2446.0,193.0,0.24280131
Audi,Coupe,MKL,Sportlich,Modern,Highclass,-384.0,-165.0,-873.0,-102.0,-936.0,87.0,-843.0,363.0,438.0,653.0,1149.0,1012.0,1832.0,1093.0,2690.0,1020.0,2898.0,980.0,3674.0,718.0,3960.0,619.0,4033.0,235.0,3976.0,-9.0,3310.0,-106.0,2914.0,0.0,2525.0,-142.0,395.0,-142.0,639.0,-61.0,1491.0,179.0,1775.0,-106.0,2341.0,185.0,0.19448458
Audi,Limousine,GKL,Highclass,Modern,Hochqualitativ,-453.0,-201.0,-898.0,-170.0,-988.0,-125.0,-936.0,346.0,403.0,615.0,1132.0,996.0,1944.0,1102.0,2756.0,1026.0,2839.0,1003.0,3542.0,742.0,4062.0,667.0,4184.0,125.0,4062.0,-102.0,3458.0,-173.0,2997.0,0.0,2589.0,-240.0,417.0,-240.0,644.0,-105.0,1482.0,151.0,1780.0,-154.0,2426.0,154.0,0.18997124
Audi,Limousine,GKL,Highclass,Modern,Hochqualitativ,-424.0,-214.0,-906.0,-147.0,-995.0,-118.0,-910.0,375.0,402.0,617.0,1150.0,997.0,2073.0,1102.0,2859.0,1040.0,2936.0,1019.0,3623.0,740.0,4165.0,653.0,4265.0,226.0,4043.0,-98.0,3577.0,-165.0,3122.0,0.0,2706.0,-203.0,421.0,-225.0,645.0,-98.0,1486.0,156.0,1933.0,-158.0,2526.0,154.0,0.19024977
Audi,Limousine,GKL,Highclass,Modern,Hochqualitativ,-458.0,-200.0,-898.0,-170.0,-989.0,114.0,-936.0,345.0,404.0,615.0,1132.0,996.0,2127.0,1115.0,2854.0,1050.0,2974.0,1015.0,3674.0,742.0,4192.0,669.0,4313.0,128.0,4192.0,-106.0,3693.0,-163.0,3128.0,0.0,2726.0,-230.0,417.0,-230.0,644.0,-105.0,1482.0,151.0,1942.0,-157.0,2556.0,154.0,0.20452313
Opel,Hatchback,UKL,Klein,Feminin,Praktisch,-358.0,-161.0,-761.0,-164.0,-818.0,-11.0,-798.0,293.0,64.0,659.0,800.0,1061.0,1542.0,1151.0,2210.0,1099.0,2299.0,1055.0,2667.0,690.0,2760.0,637.0,2880.0,94.0,2772.0,-56.0,2716.0,-62.0,2312.0,0.0,1952.0,-102.0,463.0,-28.0,398.0,-112.0,1290.0,247.0,1575.0,-75.0,1979.0,246.0,0.39236385
Mercedes-Benz,Hatchback,UKL,Praktisch,Modern,Elegant,-373.0,-166.0,-802.0,-126.0,-915.0,231.0,-904.0,354.0,347.0,649.0,1013.0,1007.0,1891.0,1101.0,2592.0,1069.0,3015.0,945.0,3368.0,670.0,3419.0,588.0,3504.0,193.0,3338.0,-70.0,3126.0,-124.0,2728.0,0.0,2350.0,-187.0,384.0,-187.0,581.0,-73.0,1426.0,180.0,1718.0,-112.0,2224.0,199.0,0.31265166
Mercedes-Benz,Hatchback,UKL,Praktisch,Modern,Elegant,-373.0,-140.0,-904.0,-71.0,-916.0,255.0,-905.0,377.0,346.0,676.0,1010.0,1035.0,1881.0,1132.0,2581.0,1103.0,3013.0,979.0,3366.0,705.0,3417.0,622.0,3503.0,228.0,3476.0,49.0,3130.0,-91.0,2729.0,6.0,2350.0,-155.0,384.0,-159.0,581.0,-45.0,1425.0,210.0,1719.0,-81.0,2223.0,231.0,0.31410685
Mercedes-Benz,Hatchback,UKL,Praktisch,Modern,Elegant,-628.0,-141.0,-801.0,-115.0,-906.0,157.0,-863.0,419.0,349.0,682.0,1033.0,1018.0,1904.0,1116.0,2575.0,1083.0,2995.0,956.0,3256.0,696.0,3320.0,574.0,3385.0,183.0,3267.0,-67.0,3149.0,-83.0,2700.0,0.0,2315.0,-145.0,391.0,-165.0,578.0,-64.0,1414.0,188.0,1707.0,-97.0,2204.0,220.0,0.33659315
Mercedes-Benz,Limousine,UKL,Praktisch,Modern,Elegant,-373.0,-166.0,-803.0,-125.0,-915.0,231.0,-904.0,353.0,347.0,649.0,1012.0,1004.0,1800.0,1107.0,2527.0,1042.0,2609.0,1016.0,3156.0,774.0,3572.0,706.0,3634.0,151.0,3494.0,-44.0,3131.0,-116.0,2730.0,0.0,2349.0,-162.0,388.0,-173.0,581.0,-73.0,1425.0,180.0,1718.0,-112.0,2224.0,199.0,0.22684008
Mercedes-Benz,Limousine,UKL,Praktisch,Modern,Elegant,-373.0,-140.0,-901.0,-72.0,-916.0,256.0,-905.0,381.0,346.0,677.0,1010.0,1036.0,1811.0,1138.0,2520.0,1076.0,2605.0,1054.0,3154.0,809.0,3561.0,752.0,3633.0,180.0,3612.0,66.0,3131.0,-81.0,2729.0,6.0,2350.0,-130.0,389.0,-145.0,581.0,-45.0,1425.0,210.0,1719.0,-81.0,2223.0,231.0,0.22588168
Mercedes-Benz,Limousine,UKL,Praktisch,Modern,Elegant,-374.0,-165.0,-804.0,-125.0,-915.0,233.0,-904.0,354.0,359.0,656.0,1017.0,1008.0,1866.0,1114.0,2592.0,1042.0,2664.0,1022.0,3211.0,777.0,3634.0,703.0,3694.0,151.0,3552.0,-45.0,3191.0,-114.0,2790.0,0.0,2409.0,-162.0,388.0,-173.0,581.0,-73.0,1426.0,180.0,1699.0,-111.0,2284.0,199.0,0.21635495
Mercedes-Benz,Coupe,MKL,Sportlich,Highclass,Aerodynamisch,-363.0,-199.0,-780.0,-190.0,-906.0,297.0,-878.0,367.0,622.0,655.0,1282.0,994.0,2001.0,1089.0,2812.0,1014.0,3026.0,949.0,3721.0,705.0,4062.0,491.0,4143.0,302.0,4029.0,-71.0,3316.0,-182.0,2948.0,0.0,2548.0,-200.0,463.0,-197.0,763.0,-86.0,1615.0,154.0,1951.0,-123.0,2454.0,176.0,0.23530838
Opel,Hatchback,UKL,Praktisch,Modern,Elegant,-378.0,-146.0,-846.0,-84.0,-960.0,170.0,-887.0,377.0,124.0,676.0,964.0,1064.0,1728.0,1157.0,2488.0,1111.0,2907.0,994.0,3258.0,713.0,3330.0,659.0,3409.0,273.0,3394.0,36.0,3038.0,-59.0,2662.0,0.0,2292.0,-145.0,379.0,-145.0,508.0,-50.0,1337.0,220.0,1597.0,-75.0,2157.0,234.0,0.28459984
Cadillac,Limousine,KKL,Hochqualitativ,Modern,Elegant,-393.0,-162.0,-725.0,-131.0,-825.0,47.0,-714.0,391.0,541.0,650.0,1196.0,1001.0,1981.0,1096.0,2645.0,1029.0,2736.0,1002.0,3318.0,783.0,3756.0,744.0,3815.0,228.0,3659.0,-37.0,3155.0,-93.0,2776.0,0.0,2400.0,-119.0,375.0,-155.0,678.0,-71.0,1535.0,169.0,1843.0,-96.0,2349.0,193.0,0.22101313
VW,Convertible,UKL,Feminin,Klein,Elegant,-397.0,-163.0,-760.0,-132.0,-878.0,61.0,-724.0,363.0,280.0,652.0,843.0,1033.0,1610.0,1129.0,2288.0,1068.0,2475.0,975.0,2784.0,781.0,2946.0,698.0,3400.0,240.0,3268.0,-99.0,2934.0,-125.0,2540.0,0.0,2144.0,-139.0,397.0,-160.0,509.0,-87.0,1335.0,188.0,1622.0,-119.0,2061.0,200.0,0.2677506
Bentley,SUV/SAV,GKL+,Hochqualitativ,Highclass,Elegant,-472.0,-146.0,-676.0,-140.0,-1000.0,236.0,-899.0,568.0,397.0,803.0,1127.0,1212.0,2049.0,1323.0,2800.0,1297.0,3413.0,1143.0,3891.0,833.0,4017.0,772.0,4138.0,228.0,4045.0,-16.0,3472.0,-85.0,2995.0,0.0,2518.0,-127.0,479.0,-131.0,661.0,77.0,1481.0,353.0,1729.0,1.0,2421.0,364.0,0.27718496
Mercedes-Benz,Touring/Kombi,UKL,Praktisch,Modern,Hochqualitativ,-385.0,-115.0,-811.0,-110.0,-885.0,184.0,-849.0,439.0,181.0,725.0,958.0,1163.0,1707.0,1236.0,2514.0,1204.0,3096.0,1081.0,3345.0,767.0,3400.0,557.0,3471.0,186.0,3396.0,4.0,3082.0,-90.0,2699.0,0.0,2318.0,-156.0,385.0,-156.0,615.0,-58.0,1371.0,286.0,1556.0,-84.0,2236.0,288.0,0.3418663
Mercedes-Benz,Touring/Kombi,UKL,Praktisch,Modern,Hochqualitativ,-385.0,-88.0,-811.0,-82.0,-886.0,216.0,-856.0,433.0,177.0,753.0,963.0,1194.0,1692.0,1264.0,2550.0,1229.0,3097.0,1109.0,3345.0,794.0,3401.0,586.0,3471.0,250.0,3397.0,33.0,3081.0,-63.0,2699.0,0.0,2318.0,-129.0,385.0,-129.0,615.0,-30.0,1371.0,313.0,1573.0,-57.0,2224.0,327.0,0.34367082
Ford,Van/Minivan,UKL,Praktisch,Hochqualitativ,Oldschool,-378.0,-128.0,-724.0,-77.0,-821.0,100.0,-721.0,435.0,55.0,725.0,914.0,1160.0,1763.0,1276.0,2483.0,1238.0,2886.0,1139.0,3131.0,836.0,3205.0,609.0,3255.0,136.0,3119.0,1.0,2904.0,-48.0,2490.0,0.0,2116.0,-113.0,455.0,-122.0,526.0,-28.0,1288.0,310.0,1504.0,-43.0,2135.0,334.0,0.335387
Citroën,SUV/SAV,UKL,Praktisch,Hochqualitativ,Elegant,-438.0,-149.0,-805.0,-96.0,-906.0,1.0,-799.0,534.0,166.0,739.0,928.0,1159.0,1709.0,1255.0,2509.0,1216.0,2981.0,1098.0,3276.0,778.0,3405.0,543.0,3435.0,266.0,3392.0,10.0,3079.0,-74.0,2670.0,0.0,2227.0,-148.0,384.0,-159.0,599.0,-40.0,1336.0,320.0,1570.0,-62.0,2168.0,324.0,0.3253896
Citroën,Van/Minivan,UKL,Praktisch,Hochqualitativ,Elegant,-349.0,-118.0,-906.0,-90.0,-996.0,257.0,-888.0,481.0,-102.0,722.0,1199.0,1283.0,1658.0,1311.0,2445.0,1260.0,2836.0,1148.0,3305.0,790.0,3384.0,452.0,3476.0,111.0,3408.0,-49.0,3110.0,-76.0,2728.0,0.0,2324.0,-134.0,455.0,-143.0,567.0,-6.0,1232.0,353.0,1497.0,36.0,2148.0,376.0,0.33958265
Renault,SAC,UKL,Modern,Elegant,Nachhaltig,-462.0,-144.0,-753.0,-105.0,-861.0,242.0,-862.0,378.0,300.0,767.0,1023.0,1152.0,1658.0,1233.0,2502.0,1167.0,2920.0,1069.0,3451.0,855.0,3562.0,875.0,3568.0,169.0,3468.0,-4.0,3131.0,-91.0,2702.0,0.0,2289.0,-171.0,460.0,-171.0,625.0,-29.0,1373.0,322.0,1610.0,-18.0,2190.0,325.0,0.27997878
Renault,SUV/SAV,UKL,Praktisch,Hochqualitativ,Modern,-381.0,-108.0,-770.0,-88.0,-863.0,187.0,-841.0,420.0,26.0,747.0,897.0,1164.0,1690.0,1246.0,2418.0,1209.0,2813.0,1108.0,3193.0,711.0,3203.0,562.0,3258.0,165.0,3195.0,15.0,3148.0,7.0,2605.0,0.0,2186.0,-103.0,533.0,-121.0,514.0,8.0,1307.0,321.0,1569.0,-46.0,2140.0,343.0,0.34887803
Porsche,Convertible,KKL,Sportlich,Aerodynamisch,Highclass,-368.0,-198.0,-961.0,-160.0,-996.0,-117.0,-472.0,430.0,322.0,547.0,1027.0,898.0,1456.0,955.0,2113.0,883.0,2243.0,850.0,2647.0,728.0,3368.0,471.0,3493.0,36.0,3417.0,-108.0,2846.0,-185.0,2450.0,0.0,2086.0,-202.0,396.0,-201.0,502.0,-126.0,1394.0,51.0,1730.0,-164.0,2050.0,124.0,0.21843493
Porsche,Coupe,KKL,Elegant,Highclass,Modern,-368.0,-199.0,-963.0,-161.0,-993.0,-119.0,-470.0,430.0,320.0,545.0,1027.0,898.0,1455.0,959.0,1988.0,907.0,2120.0,875.0,2847.0,661.0,3369.0,470.0,3494.0,38.0,3426.0,-101.0,2847.0,-183.0,2450.0,0.0,2086.0,-202.0,396.0,-202.0,511.0,-129.0,1392.0,62.0,1731.0,-154.0,2051.0,126.0,0.2862773
Opel,Convertible,KKL,Sportlich,Aerodynamisch,Elegant,-395.0,-199.0,-855.0,-197.0,-975.0,-90.0,-894.0,360.0,211.0,672.0,948.0,995.0,1773.0,1087.0,2299.0,1048.0,2384.0,1030.0,3082.0,785.0,3595.0,721.0,3721.0,275.0,3698.0,47.0,3112.0,-142.0,2695.0,0.0,2304.0,-159.0,393.0,-166.0,512.0,-69.0,1349.0,191.0,1656.0,-95.0,2145.0,203.0,0.21779342
Porsche,SUV/SAV,MKL,Elegant,Highclass,Hochqualitativ,-492.0,-139.0,-658.0,-115.0,-1014.0,95.0,-1011.0,372.0,404.0,813.0,1081.0,1206.0,2020.0,1312.0,2711.0,1286.0,3308.0,1136.0,3690.0,857.0,3846.0,623.0,3904.0,297.0,3724.0,-55.0,3348.0,-128.0,2896.0,0.0,2436.0,-158.0,448.0,-158.0,685.0,60.0,1493.0,352.0,1745.0,7.0,2388.0,369.0,0.29132685
Porsche,SUV/SAV,MKL,Elegant,Highclass,Hochqualitativ,-435.0,-162.0,-555.0,-136.0,-960.0,110.0,-931.0,433.0,378.0,785.0,1146.0,1218.0,2036.0,1320.0,2728.0,1296.0,3395.0,1096.0,3731.0,836.0,3855.0,627.0,3886.0,240.0,3627.0,-23.0,3352.0,-90.0,2896.0,0.0,2447.0,-116.0,453.0,-140.0,732.0,56.0,1525.0,363.0,1795.0,45.0,2420.0,382.0,0.29459774
Mercedes-Benz,Limousine,KKL,Modern,Elegant,Praktisch,-319.0,-139.0,-651.0,-87.0,-765.0,149.0,-680.0,456.0,547.0,666.0,1222.0,1044.0,1971.0,1129.0,2592.0,1089.0,2633.0,1080.0,3284.0,780.0,3714.0,741.0,3816.0,216.0,3721.0,36.0,3139.0,-83.0,2760.0,0.0,2357.0,-116.0,399.0,-119.0,704.0,-44.0,1537.0,221.0,1801.0,-73.0,2335.0,236.0,0.23284003
Mercedes-Benz,Convertible,KKL,Sportlich,Elegant,Modern,-376.0,-156.0,-696.0,-142.0,-790.0,120.0,-774.0,308.0,600.0,646.0,1212.0,987.0,1954.0,1080.0,2645.0,1017.0,2724.0,999.0,3163.0,788.0,3742.0,661.0,3895.0,282.0,3829.0,-19.0,3242.0,-124.0,2840.0,0.0,2454.0,-175.0,391.0,-175.0,738.0,-75.0,1594.0,161.0,1880.0,-117.0,2351.0,195.0,0.22917
Mercedes-Benz,Coupe,KKL,Modern,Elegant,Sportlich,-377.0,-115.0,-708.0,-71.0,-767.0,199.0,-714.0,434.0,517.0,671.0,1185.0,1013.0,1844.0,1112.0,2619.0,1027.0,2640.0,1019.0,3344.0,767.0,3703.0,746.0,3816.0,227.0,3716.0,33.0,3146.0,-81.0,2760.0,0.0,2385.0,-140.0,382.0,-140.0,694.0,-46.0,1542.0,201.0,1856.0,-73.0,2335.0,216.0,0.21164776
Mercedes-Benz,Limousine,KKL,Modern,Elegant,Praktisch,-376.0,-139.0,-732.0,-105.0,-790.0,151.0,-735.0,402.0,598.0,663.0,1265.0,1034.0,1993.0,1122.0,2739.0,1069.0,2855.0,1038.0,3427.0,766.0,3886.0,708.0,3976.0,279.0,3914.0,-15.0,3324.0,-107.0,2920.0,0.0,2537.0,-152.0,389.0,-152.0,747.0,-61.0,1590.0,192.0,1900.0,-93.0,2496.0,212.0,0.213287
Mercedes-Benz,Limousine,KKL,Modern,Elegant,Praktisch,-375.0,-114.0,-747.0,-63.0,-790.0,290.0,-758.0,428.0,621.0,703.0,1270.0,1062.0,2043.0,1142.0,2787.0,1083.0,2850.0,1066.0,3428.0,790.0,3872.0,746.0,3975.0,290.0,3914.0,10.0,3323.0,-79.0,2920.0,0.0,2534.0,-143.0,390.0,-143.0,748.0,-37.0,1591.0,216.0,1879.0,-67.0,2494.0,237.0,0.20911214
Mercedes-Benz,Touring/Kombi,KKL,Praktisch,Hochqualitativ,Modern,-375.0,-141.0,-709.0,-124.0,-790.0,135.0,-780.0,305.0,621.0,675.0,1268.0,1031.0,2087.0,1126.0,2722.0,1111.0,3469.0,973.0,3776.0,678.0,3846.0,569.0,3911.0,173.0,3850.0,-15.0,3243.0,-110.0,2840.0,0.0,2441.0,-169.0,388.0,-169.0,748.0,-65.0,1591.0,189.0,1864.0,-101.0,2414.0,211.0,0.34567657
